architecture,target,temporal_bin,calibration_method,metric,unweighted_mean,weighted_mean,difference
densenet121,Edema,T1_2015,offset,auroc,0.4165166666666667,0.5385333333333333,0.1220166666666666
densenet121,Edema,T2_2016,offset,brier_score,0.0032295328307237036,0.003237755573408411,8.222742684707574e-06
densenet121,Edema,T2_2016,offset,log_loss,0.019467316333477886,0.020087894988933777,0.000620578655455891
densenet121,Edema,T2_2016,offset,ece_equal_mass,0.0026545482169773923,0.0017702430401379161,-0.0008843051768394762
densenet121,Edema,T2_2016,offset,auroc,0.8764565831752544,0.8816562463706399,0.005199663195385451
densenet121,Edema,T3_2017,offset,brier_score,1.0299200823637346e-05,7.411857816517144e-05,6.38193773415341e-05
densenet121,Edema,T3_2017,offset,log_loss,0.0021831678460894795,0.0016256266638627484,-0.000557541182226731
densenet121,Edema,T3_2017,offset,ece_equal_mass,0.00217798176116383,0.0015831567169669952,-0.000594825044196835
densenet121,Edema,T3_2017,offset,auroc,,,
densenet121,Edema,T1_2015,platt,brier_score,0.002129359722937451,0.016147868002610578,0.014018508279673127
densenet121,Edema,T1_2015,platt,log_loss,0.01802335521927856,0.059109724648205984,0.041086369428927426
densenet121,Edema,T1_2015,platt,ece_equal_mass,0.002751360034925458,0.02931951246553166,0.0265681524306062
densenet121,Edema,T1_2015,platt,auroc,0.41204999999999997,0.5223,0.11025000000000001
densenet121,Edema,T2_2016,platt,brier_score,0.003240242924448486,0.0032326702817784833,-7.572642670002679e-06
densenet121,Edema,T2_2016,platt,log_loss,0.020396563443350217,0.01982844285267619,-0.0005681205906740289
densenet121,Edema,T2_2016,platt,ece_equal_mass,0.0032163124187086613,0.002813643872608417,-0.00040266854610024414
densenet121,Edema,T2_2016,platt,auroc,0.8764565831752544,0.8816562463706399,0.005199663195385451
densenet121,Edema,T3_2017,platt,brier_score,5.984824809139173e-06,6.897327042341788e-06,9.125022332026146e-07
densenet121,Edema,T3_2017,platt,log_loss,0.0021901866323520334,0.0022093870406878083,1.9200408335774948e-05
densenet121,Edema,T3_2017,platt,ece_equal_mass,0.0021871869293582646,0.002205927300731006,1.8740371372741316e-05
densenet121,Edema,T3_2017,platt,auroc,,,
densenet121,Pleural Effusion,T1_2015,raw,brier_score,0.03669896403764391,0.10356162745129777,0.06686266341365385
densenet121,Pleural Effusion,T1_2015,raw,log_loss,0.13020317937363424,0.35095996414750197,0.22075678477386773
densenet121,Pleural Effusion,T1_2015,raw,ece_equal_mass,0.02385520306316781,0.19271600395545213,0.16886080089228434
