architecture,loss_type,seed,target,temporal_bin,calibration_method,comparison,brier_raw,brier_calibrated,delta_brier,brier_diff_ci_lower,brier_diff_ci_upper,log_loss_raw,log_loss_calibrated,delta_log_loss,log_loss_diff_ci_lower,log_loss_diff_ci_upper
densenet121,weighted_bce,ensemble,Pneumonia,T1_2015,offset,offset_vs_raw,0.11213256071791942,0.02281282493818297,-0.08931973577973645,-0.1031560222311652,-0.07569398774048951,0.37394497849178626,0.09637743889702399,-0.27756753959476227,-0.31725066412361913,-0.23836640781963142
densenet121,weighted_bce,ensemble,Pneumonia,T1_2015,platt,platt_vs_raw,0.11213256071791942,0.02350655330957994,-0.08862600740833948,-0.10299867460050273,-0.07441964681059703,0.37394497849178626,0.09861084788267134,-0.27533413060911494,-0.31568687400746837,-0.23583963885670403
densenet121,weighted_bce,ensemble,Pneumonia,T1_2015,analytic_weight,analytic_weight_vs_raw,0.11213256071791942,0.022627271098260033,-0.0895052896196594,-0.10370969453341725,-0.07536744832587704,0.37394497849178626,0.09669224789663106,-0.2772527305951552,-0.31942586090677966,-0.23519117246351287
densenet121,weighted_bce,ensemble,Pneumonia,T2_2016,temperature,temperature_vs_raw,0.11119890933589646,0.10568487388556311,-0.005514035450333354,-0.0063552142581600165,-0.004730342950628019,0.3716046144017242,0.3585746618381557,-0.013029952563568536,-0.015054304092097709,-0.011133460983821071
densenet121,weighted_bce,ensemble,Pneumonia,T2_2016,offset,offset_vs_raw,0.11119890933589646,0.01853816507089383,-0.09266074426500263,-0.10211246398442478,-0.08426821476110048,0.3716046144017242,0.07647437897304754,-0.29513023542867667,-0.31992410492700285,-0.2712221547272093
densenet121,weighted_bce,ensemble,Pneumonia,T2_2016,platt,platt_vs_raw,0.11119890933589646,0.018249904178003613,-0.09294900515789285,-0.10258772505750599,-0.08431845167173843,0.3716046144017242,0.07767219182352979,-0.2939324225781944,-0.318876179928918,-0.27009152902310923
densenet121,weighted_bce,ensemble,Pneumonia,T2_2016,analytic_weight,analytic_weight_vs_raw,0.11119890933589646,0.018230824374456327,-0.09296808496144013,-0.10261036971461544,-0.08433688398436028,0.3716046144017242,0.07561967766869467,-0.29598493673302956,-0.32228514011508386,-0.270661618827573
densenet121,weighted_bce,ensemble,Pneumonia,T3_2017,temperature,temperature_vs_raw,0.11050119932432767,0.10543862241809902,-0.005062576906228647,-0.006037980261674906,-0.004069878107741904,0.36857761124609856,0.35689519998109104,-0.01168241126500752,-0.01395011572153167,-0.009350933658253872
densenet121,weighted_bce,ensemble,Pneumonia,T3_2017,offset,offset_vs_raw,0.11050119932432767,0.01842628635960865,-0.09207491296471902,-0.10359716893073259,-0.08111072787135218,0.36857761124609856,0.0780081063408024,-0.29056950490529615,-0.3191828875947473,-0.26123580983665895
densenet121,weighted_bce,ensemble,Pneumonia,T3_2017,platt,platt_vs_raw,0.11050119932432767,0.018249314331397166,-0.09225188499293051,-0.10405021953690756,-0.08107950705948133,0.36857761124609856,0.07855477494459336,-0.2900228363015052,-0.3197231421305481,-0.2604020805340006
